,0
0,-8.325723005092409e+43
1,-8.325723005092409e+43
2,-8.325723005092409e+43
3,-8.325723005092409e+43
4,-8.325723005092409e+43
5,-8.325723005092409e+43
6,-8.325723005092409e+43
7,-8.325723005092409e+43
8,-8.325723005092409e+43
9,-8.325723005092409e+43
10,-8.325723005092409e+43
11,-8.325723005092409e+43
12,-8.325723005092409e+43
13,-8.325723005092409e+43
14,-8.325723005092409e+43
15,-8.325723005092409e+43
16,-8.325723005092409e+43
17,-8.325723005092409e+43
18,-8.325723005092409e+43
19,-8.325723005092409e+43
20,-8.325723005092409e+43
21,-8.325723005092409e+43
22,-8.325723005092409e+43
23,-8.325723005092409e+43
24,-8.325723005092409e+43
25,-8.325723005092409e+43
26,-8.325723005092409e+43
27,-8.325723005092409e+43
28,-8.325723005092409e+43
29,-8.325723005092409e+43
30,-8.325723005092409e+43
31,-8.325723005092409e+43
32,-8.325723005092409e+43
33,-8.325723005092409e+43
34,-8.325723005092409e+43
35,-8.325723005092409e+43
36,-8.325723005092409e+43
37,-8.325723005092409e+43
38,-8.325723005092409e+43
39,-8.325723005092409e+43
40,-8.325723005092409e+43
41,-8.325723005092409e+43
42,-8.325723005092409e+43
43,-8.325723005092409e+43
44,-8.325723005092409e+43
45,-8.325723005092409e+43
46,-8.325723005092409e+43
47,-8.325723005092409e+43
48,-8.325723005092409e+43
49,-8.325723005092409e+43
50,-8.325723005092409e+43
51,-8.325723005092409e+43
52,-8.325723005092409e+43
53,-8.325723005092409e+43
54,-8.325723005092409e+43
55,-8.325723005092409e+43
56,-8.325723005092409e+43
57,-8.325723005092409e+43
58,-8.325723005092409e+43
59,-8.325723005092409e+43
60,-8.325723005092409e+43
61,-8.325723005092409e+43
62,-8.325723005092409e+43
63,-8.325723005092409e+43
64,-8.325723005092409e+43
65,-8.325723005092409e+43
66,-8.325723005092409e+43
67,-8.325723005092409e+43
68,-8.325723005092409e+43
69,-8.325723005092409e+43
70,-8.325723005092409e+43
71,-8.325723005092409e+43
72,-8.325723005092409e+43
73,-8.325723005092409e+43
74,-8.325723005092409e+43
75,-8.325723005092409e+43
76,-8.325723005092409e+43
77,-8.325723005092409e+43
78,-8.325723005092409e+43
79,-8.325723005092409e+43
80,-8.325723005092409e+43
81,-8.325723005092409e+43
82,-8.325723005092409e+43
83,-8.325723005092409e+43
84,-8.325723005092409e+43
85,-8.325723005092409e+43
86,-8.325723005092409e+43
87,-8.325723005092409e+43
88,-8.325723005092409e+43
89,-8.325723005092409e+43
90,-8.325723005092409e+43
91,-8.325723005092409e+43
92,-8.325723005092409e+43
93,-8.325723005092409e+43
94,-8.325723005092409e+43
95,-8.325723005092409e+43
96,-8.325723005092409e+43
97,-8.325723005092409e+43
98,-8.325723005092409e+43
99,-8.325723005092409e+43
100,-8.325723005092409e+43
101,-8.325723005092409e+43
102,-8.325723005092409e+43
103,-8.325723005092409e+43
104,-8.325723005092409e+43
105,-8.325723005092409e+43
106,-8.325723005092409e+43
107,-8.325723005092409e+43
108,-8.325723005092409e+43
109,-8.325723005092409e+43
110,-8.325723005092409e+43
111,-8.325723005092409e+43
112,-8.325723005092409e+43
113,-8.325723005092409e+43
114,-8.325723005092409e+43
115,-8.325723005092409e+43
